source,	target,	weight
alabama	vermont	72
alabama	wisconsin	46
alabama	oregon	38
alabama	ohio	43
arkansas	california	68
arkansas	connecticut	41
arkansas	delaware	105
arkansas	florida	350
arkansas	georgia	610
arkansas	illinois	124
arkansas	indiana	101
arkansas	kentucky	827
arkansas	louisiana	650
arkansas	maine	58
arkansas	maryland	308
arkansas	massachusetts	96
arkansas	michigan	50
arkansas	mississippi	695
arkansas	missouri	964
arkansas	pennsylvania	133
arkansas	tennessee	951
arkansas	texas	588
arkansas	vermont	52
arkansas	wisconsin	45
arkansas	oregon	22
arkansas	ohio	46
california	delaware	60
california	florida	64
california	georgia	104
california	indiana	129
california	louisiana	75
california	massachusetts	93
california	tennessee	192
california	texas	195
california	ohio	41
connecticut	delaware	122
connecticut	florida	36
connecticut	georgia	85
connecticut	indiana	191
connecticut	louisiana	67
connecticut	massachusetts	214
connecticut	tennessee	190
connecticut	texas	83
connecticut	oregon	37
connecticut	ohio	87
delaware	florida	68
delaware	georgia	101
delaware	illinois	187
delaware	indiana	160
delaware	louisiana	76
delaware	maine	114
delaware	maryland	436
delaware	massachusetts	193
delaware	michigan	68
delaware	mississippi	90
delaware	pennsylvania	229
delaware	tennessee	232
delaware	texas	68
delaware	vermont	127
delaware	wisconsin	49
delaware	oregon	40
delaware	ohio	90
florida	georgia	837
florida	illinois	97
florida	indiana	78
florida	kentucky	497
florida	louisiana	681
florida	maine	47
florida	maryland	276
florida	massachusetts	97
florida	michigan	59
florida	mississippi	601
florida	missouri	314
florida	pennsylvania	149
florida	tennessee	584
florida	texas	424
florida	vermont	48
florida	wisconsin	37
florida	oregon	36
florida	ohio	29
georgia	indiana	107
georgia	kentucky	1238
georgia	louisiana	1275
georgia	maine	83
georgia	maryland	581
georgia	massachusetts	274
georgia	michigan	76
georgia	mississippi	1296
georgia	missouri	700
georgia	texas	878
georgia	vermont	96
georgia	wisconsin	58
georgia	oregon	53
georgia	ohio	47
illinois	indiana	475
illinois	louisiana	135
illinois	massachusetts	330
illinois	tennessee	425
illinois	texas	181
illinois	oregon	60
illinois	ohio	188
indiana	kentucky	852
indiana	louisiana	121
indiana	maine	203
indiana	maryland	513
indiana	massachusetts	363
indiana	michigan	170
indiana	mississippi	145
indiana	missouri	517
indiana	pennsylvania	575
indiana	tennessee	399
indiana	texas	137
indiana	vermont	178
indiana	wisconsin	139
indiana	oregon	66
indiana	ohio	292
kentucky	louisiana	1051
kentucky	massachusetts	669
kentucky	tennessee	3740
kentucky	texas	956
kentucky	oregon	95
kentucky	ohio	417
louisiana	maine	64
louisiana	maryland	421
louisiana	massachusetts	193
louisiana	michigan	59
louisiana	mississippi	1091
louisiana	missouri	674
louisiana	pennsylvania	194
louisiana	tennessee	1259
louisiana	texas	843
louisiana	vermont	65
louisiana	wisconsin	50
louisiana	oregon	53
louisiana	ohio	40
maine	massachusetts	249
maine	tennessee	211
maine	texas	62
maine	oregon	45
maine	ohio	88
maryland	massachusetts	651
maryland	tennessee	1115
maryland	texas	369
maryland	oregon	76
maryland	ohio	231
massachusetts	michigan	104
massachusetts	mississippi	170
massachusetts	missouri	441
massachusetts	pennsylvania	558
massachusetts	texas	140
massachusetts	vermont	238
massachusetts	wisconsin	114
massachusetts	oregon	44
massachusetts	ohio	127
michigan	tennessee	116
michigan	texas	54
michigan	oregon	33
michigan	ohio	52
mississippi	tennessee	1695
mississippi	texas	779
mississippi	oregon	42
mississippi	ohio	47
missouri	tennessee	1775
missouri	texas	747
missouri	oregon	92
missouri	ohio	180
pennsylvania	texas	173
oregon	pennsylvania	72
pennsylvania	pennsylvania	1161
ohio	pennsylvania	324
tennessee	texas	954
tennessee	vermont	188
tennessee	wisconsin	116
oregon	tennessee	84
ohio	tennessee	185
texas	vermont	58
texas	wisconsin	37
oregon	texas	43
ohio	texas	56
oregon	vermont	35
ohio	vermont	87
oregon	wisconsin	32
ohio	wisconsin	41
oregon	oregon	51
ohio	oregon	18
,	tunisia	5
tunisia	tunisia	1
california	zhonghua,asia	4
dan	dan	23
espana	espana	930
espana	madrid,madrid,madrid,espana,europe	284
yankees	yankees	377
europe,	galway,galway,connacht,eire,europe	16
europe,	osterreich,europe	47
galway,galway,connacht,eire,europe	osterreich,europe	2
austria	galway,galway,connacht,eire,europe	7
austria	osterreich,europe	44
campeachy	campeachy	6
campeachy	yucatan	4
missouri	missouri	2504
europe,	scotland	92
france	scotland	89
scotland	scotland	29
osterreich,europe	rossiya	22
magyarorszag	rossiya	76
austria	austria	223
austria	magyarorszag	178
prussia	prussia	188
osterreich,europe	prussia	9
magyarorszag	prussia	29
france	osterreich,europe	58
france	magyarorszag	157
napoli,napoli,campania,italia,europe	osterreich,europe	3
magyarorszag	napoli,napoli,campania,italia,europe	19
osterreich,europe	sardegna	6
magyarorszag	sardegna	7
magyarorszag	osterreich,europe	25
italia	osterreich,europe	36
italia	magyarorszag	100
indiana	iowa	59
illinois	iowa	60
iowa	missouri	99
california	colorado	18
california	rossiya	24
,	colorado	27
colorado	rossiya	5
colorado	wisconsin	12
,	rossiya	58
,	wisconsin	27
rossiya	wisconsin	16
bharat	zhonghua,asia	4
europe,	zhonghua,asia	30
bharat	europe,	338
gaeta,latina,lazio,italia,europe	napoli,napoli,campania,italia,europe	114
gaeta,latina,lazio,italia,europe	gaeta,latina,lazio,italia,europe	79
arkansas	scotland	2
bermuda	bermuda	41
bermuda	rio	3
gaeta,latina,lazio,italia,europe	rossiya	34
gaeta,latina,lazio,italia,europe	sardegna	27
austria	gaeta,latina,lazio,italia,europe	69
gaeta,latina,lazio,italia,europe	magyarorszag	14
minnesota	pennsylvania	98
illinois	minnesota	102
illinois	virginia	431
connecticut	minnesota	46
connecticut	virginia	242
massachusetts	minnesota	76
minnesota	vermont	56
vermont	virginia	264
indiana	minnesota	98
indiana	virginia	404
maine	minnesota	45
maine	virginia	372
michigan	minnesota	63
michigan	virginia	204
minnesota	wisconsin	61
virginia	wisconsin	98
kentucky	minnesota	181
minnesota	tennessee	91
delaware	minnesota	58
louisiana	minnesota	51
georgia	minnesota	30
alabama	minnesota	35
minnesota	mississippi	37
florida	minnesota	40
arkansas	minnesota	34
minnesota	texas	26
minnesota	missouri	116
minnesota	virginia	64
maryland	minnesota	120
kentucky	virginia	2398
delaware	virginia	348
louisiana	virginia	1243
mississippi	virginia	1387
florida	virginia	726
arkansas	virginia	899
texas	virginia	1228
missouri	virginia	1711
maryland	virginia	2313
eire	eire	438
alabama	alabama	1198
california	virginia	208
massachusetts	massachusetts	453
magyarorszag	magyarorszag	79
,	magyarorszag	30
jawa	virginia	82
sicilia	virginia	93
malaga	virginia	12
palermo,palermo,sicilia,italia,europe	parisian	2
palermo,palermo,sicilia,italia,europe	palermo,palermo,sicilia,italia,europe	9
,	virginia	639
italia	venezia,venezia,veneto,italia,europe	87
lombardy	venezia,venezia,veneto,italia,europe	8
florida	florida	449
,	georgia	420
polska	rossiya	337
livorno,livorno,toscana,italia,europe	rossiya	3
polska	polska	143
italia	polska	100
livorno,livorno,toscana,italia,europe	polska	2
europe,	polska	289
italia	livorno,livorno,toscana,italia,europe	10
europe,	livorno,livorno,toscana,italia,europe	9
carriage	zhonghua	2
alabama	military	10
alabama	europe,	288
georgia	military	32
